id,category,subcategory,name,descripction,price,quantity,url
1,Bars,Bar Front,Mahogany Wooden Bar Front NO Columns,"As shown: 16’ W, 120” L & 45’ H. It does not include bar side columns",200,5,,1
2,Bars,Bar Front,Sonoma Reclaimed Wood Bar Front,"SONOMA RECLAIM WOOD BAR FRONT 33"" X 73"" X 50"". It does not include bar backs",320,5,2
3,Bars,Bar Front,"Mahogany Wooden Bar Front","As shown: 16’ W, 120” L & 45’ H. It does not include bar backs",225,5,3
4,Bars,Bar Back,Sonoma Ladder Bar Back,"Great to display glassware, spirits or other accent pieces. Includes a pair of ladders, 4 shelves, and the red ""BAR"" lettering",320,5,4
5,Bars,Bar Back,Six Barrel Bar Back,"6 wine barrels at 2 rows of three with the ""BAR"" lettering back ground",80,10,5
6,Bars,Bar Back,"Marquee Rusted ""BAR"" Letters",Decor lettering that complements the bar,80,2,6
7,Bars,Bar Back,"Marquee Red ""BAR"" Letters",Decor lettering that complements the bar,80,4,7
8,Bars,Bar Back,3 Barrel Bar Back,3 wooden barrels behind the bar,50,10,8
9,Tables,Barrel Tables,Double Barrel Descansa Pub,Descansa finish top on 2 barrels. 3' x 6' x 38'',115.00,15,1
10,Tables,Barrel Tables,Double Barrel Descansa Pub,Descansa finish top on 2 barrels. 4' x 8' x 38'',115.00,20,2
11,Tables,Descansa,Descansa Table,Descansa finish top. 3' x 6' x 30'',105.00,9,3
12,Tables,Descansa,Descansa Table,Descansa finish top. 4' x 8' x 30'',125.00,9,4
13,Tables,Descansa,Descansa Highboy Table,Descansa finish top. 3' x 6' x 42'',105.00,9,5
14,Tables,Highboy Tables,Descansa Highboy Table,Descansa finish top. 4' x 8' x 42'',125.00,9,6
15,Tables,Highboy Tables,Single Barrel Highboy Round,"Wooden hard top. 44""W x 44""L x 38"" H",75.00,25,7
16,Tables,Highboy Tables,Carmel Highboy Table,"Faux distressed wood top. 2' x 4' x 42""",75.00,9,8
17,Tables,Highboy Tables,Carmel Highboy Table,"Faux distressed wood top. 2' x 6' x 42""",95.00,9,9
18,Seating,Bench,Sonoma Firepit Bench,Carmer 2' x 4'x16'',40.00,10,1
19,Seating,Bench,Firepit Bench,Descansa Finish. 2' x 4'x16'',40.00,8,2
20,Seating,Bench,Descansa Bench Short,7' (short),40.00,16,3
21,Seating,Bench,Descansa Bench Long,9' (long),40.00,24,4
22,Seating,Stool,Padded Natural-Wood Bar Stool,30'' tall,40.00,134,5
23,Seating,Stool,Distressed Gunmetal Bar Stool,30'' tall,40.00,100,6
24,Seating,Chair,Silver Bistro Chair,Silver metallic chair,40.00,160,7
25,Lighting,Lighting,Uplight wireless LED light (packages available),Programmable in a variety of colors.,50,26,1
26,Lighting,Lighting,Lighting Tree,Great simple solution to illuminate performers.,175,4,2
27,Lighting,Lighting,Moon Balloon,Available in programmable colors.,625,2,3
28,Lighting,Rope lit cacti,12' Saguaro,Ropel lit cactus large sahuaro 12',175,8,4
29,Lighting,Rope lit cacti,8' Saguaro,Ropel lit cactus small sahuaro 8',125,1,5
30,Lighting,Rope lit cacti,6' Prickley Pear,Rope lit cactus prickley pear 6',125,5,6
31,Lighting,Rope lit cacti,8' Ocotillo,Rope lit cactus ocotillo 8',125,5,7
32,Lighting,Other Lighting,Marquee Movie Poster Frame,"Measures 5” Deep x 36” Wide x 48” Tall. Insert area for poster measures 27”x40”",175,1,8
33,Lighting,Other Lighting,"Marquee Rusted ""BAR"" Letters",Decor lettering that complements the bar,80,2,9
34,Lighting,Other Lighting,"Marquee Red  ""BAR"" Letters",Decor lettering that complements the bar,80,4,10
35,Lighting,Other Lighting,Gobo Lights,Gobo Leko Light (Source Four),125,2,11
36,Lighting,Other Lighting,Lighting Tree,Four LED light bar on a tripod,175,1,12
37,Bistro Lighting,Hyatt Gainey Ranch,Palm Groove,Bistro Ligthing on Palmtrees,999,11
