SKU,CATEGORY,SUBCATEGORY,NAME,DESCRIPTION,PRICE,QUANTITY,URL,EXTRAURL
1001-1001,BARS,Bar Front,Mahogany Wooden Bar Front no Columns,"16"" x 73” x 45"". Does not include columns ",175,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011001.JPG,
1001-1002,BARS,Bar Front,Mahogany Wooden Bar Front with two Columns,"16"" x 120"" x 45"". Includes two columns",225,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011002.JPG,
1001-1003,BARS,Bar Front,Sonoma Faux Reclaimed Wood Bar Front,"33"" x 73"" x 50"" Sonoma faux reclaim wood bar front, bar back sold seperately ",290,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011003.JPG,
1001-1004,BARS,Bar Back,Sonoma Ladder Bar Back with 4 shelfs,"Great to display glassware, spirits or other accent pieces. Includes a pair of ladders, four shelves, and red ""BAR"" lettering ",280,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011004.JPG,
1001-1005,BARS,Bar Back,"Six Barrel Bar Back With Rusted ""BAR"" Letters","Six wine barrel bar back( two rows of three) with rusted  ""BAR"" lettering ( letter dimmensions are  4"" x 20"" x 24"")",450,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011005.JPG,
1001-1006,BARS,Bar Sign,"""BAR"" Marquee Rusted Letters  ","Décor rusted ""BAR"" sign lettering that complements the bar, or bar back ( letter dimmensions are  4"" x 20"" x 24"")",200,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011006.JPG,
1001-1007,BARS,Bar Sign,"""BAR"" Carnival Marquee Red letters","Décorred ""BAR"" sign that complements the bar of bar back ( letter dimensions are 3"" x 17"" x 20"")",125,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011007.JPG,
1001-1008,BARS,Bars with Custom Printed Bar Fronts,Special Bar Front Print (COMING SOON),"We can accomodate special print in the front and sides of our bar such as your company loggo, print, or pattern, call for pricing. ",1,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011008.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011008A.JPG
1001-1009,BARS,Bar Package,Mahogany Bar Front & Six Barrels (Package One),"Mahogany bar front package with six barrels bar back, and rusted bar sign. (Please refer to individual items for dimensions)",600,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011009.JPG,
1001-1010,BARS,Bar Package,"Mahogany Bar Front, Two Columns & Six Barrels (Package Two) ","Mahogany bar front package with two columns, six barrel bar back, and rusted ""BAR"" lettering. (Please refer to individual items for dimensions)",650,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011010.JPG,
1001-1011,BARS,Bar Package,"Sonoma Faux Reclaimed Wood Bar Front Sonoma, with Ladder Back & Red Carnival ""BAR"" lettering (Package Three) ","Sonoma faux reclaimed wood bar front package with sonoma ladder bar back, and carnival red ""BAR"" sign. (Please refer to individual items for dimensions)",680,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011011.JPG,
1001-1012,BARS,Big Mahogany Center Bar,Big Mahogany Center Bar (Package Four),Includes eight bar fronts with eight columns,1550,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011012.JPG,
1001-1013,BARS,Big Mahogany Center Bar,Big Mahogany Center Bar Package with 24 Stools (Package Five),"Includes eight mahogany bar fronts, eight columns, and twenty four metal stools",1775,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011013.JPG,
1001-1014,BARS,Bar Sign,"""BAR"" Marquee Red Letters","Décor marquee red ""BAR"" sign lettering that complements the bar, or bar back. ( letter dimensions are 3"" x 17"" x 20"")",200,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/BARS/10011014.JPG,
1001-1015,BARS,Bar Column,Mahogany Wooden Bar Column,Columns used in addition to certain bar front layouts,,,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1001-1016,BARS,Big Mahogany Center Bar,Big Mahogany Center Bar Package with 24 Stools (Package Six),"Includes eight mahogany bar fronts, eight columns, and twenty four wood stools",,,,
1002-1002,CACTI,Rope Lit Cacti,Sahuaro 12' Rope Lit Cactus,Sahuaro 12' Rope Lit Cactus,175,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021002.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021002A.JPG
1002-1003,CACTI,Rope Lit Cacti,Sahuaro 9' Rope Lit Cactus. Short,Sahuaro 8' Rope Lit Cactus. Short,150,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021003.JPG,
1002-1004,CACTI,Rope Lit Cacti,Ocotillo 8' Rope Lit Cactus,Ocotillo 8' Rope Lit Cactus,125,6,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021004.JPG,
1002-1005,CACTI,Rope Lit Cacti,Prickley Pear Lit Cactus,"Prickley pear rope lit cactus, varies in size from six to eight feet.",125,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021005.JPG,
1002-1006,CACTI,Green Saguaros 8',Green Saguaros 8',Green Sahuaros 8' Tall,125,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/CACTI/10021006.JPG,
1002-1007,CACTI,Metal Décor Ornamental Cacti,Metal Saguaros Large,Coming Soon,1,8,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1002-1008,CACTI,Metal Décor Ornamental Cacti,Metal Saguaros Small,Coming Soon,1,8,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1001,LIGHTING,Bistro Lighting,"Pre measured Site By Resort Name, Ballroom Name, and or Site Location ","We've done just about every resort location in the valley and Tucson, the lighting area could be small or as large as a football field. Please see gallery and call us pricing",,,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031001.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031001A.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031001B.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031001C.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031001D.JPG
1003-1002,LIGHTING,Bistro Lighting,Custom Bistro Ligting,"Though we have done just about every location in the valley, if you have an area we havent done. Call us for pricing",,,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031002.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031002A.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031002B.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031002D.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031002E.JPG
1003-1003,LIGHTING,Bar Sign,"""BAR"" Marquee Rusted Letters  ","Décor rusted ""BAR"" sign lettering that complements the bar, or bar back ( letter dimmensions are  4"" x 20"" x 24"")",200,2,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1004,LIGHTING,Bar Sign,"""BAR"" Carnival Marquee Red letters","Décor red ""BAR"" sign that complements the bar of bar back ( letter dimensions are 3"" x 17"" x 20"")",125,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031004.JPG,
1003-1005,LIGHTING,Bar Sign,"""BAR"" Marquee Red Letters","Décor marquee red ""BAR"" sign lettering that complements the bar, or bar back. ( letter dimensions are 3"" x 17"" x 20"")",200,1,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031005.JPG,
1003-1006,LIGHTING,Moon Ballon,Moon Ballon LED White,Enhance your customer's experience with warm LED ligthing,550,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031006.JPG,
1003-1007,LIGHTING,Moon Ballon,Moon Ballon LED Color,Enhance your customer's experience with warm programmable color LED ligthing,550,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031007.JPG,
1003-1008,LIGHTING,Moon Ballon,Moon Ballon Hallogen White,Enhance  your customers vibe by iluminate a large area,550,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031008.JPG,
1003-1009,LIGHTING,Up-Light,LED Up-Light,"Wireless LED up-lights, primary, secondary, or any programable color",50,35,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031009.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031009A.JPG https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031009B.JPG
1003-1010,LIGHTING,Buffet Lighting,Buffet Flood Lighting,Buffett flood lighting on a base and a pole,125,,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1011,LIGHTING,Marquee Lighted Movie Poster Frame,Marquee Lighted Movie Poster Frame,"Display your favorite vintage poster in an old fashion marquee frame, iluminated by soft lighting. Matte black frame, poster size that can be display are 27"" x 40"" ",175,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031011.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031011A.JPG
1003-1012,LIGHTING,Gobo Light,Steel Gobo Light,Your company logo or name proyected on the wall with a steel gobo,375,1,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1013,LIGHTING,Gobo Light,Glass Gobo Light,Your company logo or name projected on the wall with a glass gobo,500,1,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1014,LIGHTING,Four lamp Lighting Tree,Four Lamp Lighting tree,Four lamp lighting tree great simple solutions to Iluminate performers or an area,175,2,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031014.JPG,
1003-1015,LIGHTING,Tree Rope Lightimg,Tree Rope Lighting Custom,Decor your on site natural tree. with custom rope lightin ilumination. Do a section or most of the tree. Call for pricing,,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/LIGHTING/10031015.JPG,
1003-1016,LIGHTING,Economy Bistro Lighting,Economy Bistro Lighting,Coming soon. Call for pricing,,,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1003-1017,LIGHTING,Bistro Lighting,Pre measured Site Hyatt Gainey Ranch Palm Grove,Palm Grove Bistro Ligthting,1200,,,
1003-1018,LIGHTING,Bistro Lighting,Pre measued Site Hyatt Gainey Ranch Lawn Court,"Lawn Court. (3) Center Truss, 6 strands see gallery",2200,,,
1003-1019,LIGHTING,Bistro Lighting,Pre measured Site Camelback Inn Bistro Lighting Package North Garden Middle Lawn Only,Bistro Ligting Package North Garden Middle Lawn Only Pin Wheel with (8) columns,1300,,,
1003-1020,LIGHTING,Bistro Lighting,Pre measured Site Camelback Inn Bistro Lighting Package North Garden All (3 ) Areas,"Bistro Ligting Package North Garden All (3) Areas Middle Lawn Pin Wheel with (8) columns, Upper Area (one X) with Perimeter,",2550,,,
1004-1001,TABLES,Descansa,4' x 8' Descansa Table Dinner Height. (Table Only),4' x 8' Descansa table dinner height 30''. Table only,125,21,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041001.JPG,
1004-1005,TABLES,Descansa Package,4' x 8' Descansa Table High Boy & Metal Stools Package One,4' x 8' Descansa table high boy 42'' with eight distress gunmetal bar stools,220,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041005.JPG,
1004-1006,TABLES,Descansa Package,4' x 8' Descansa Table Dinner Height  & Long Benches Package Two,4' x 8 Descansa table dinner height with two 9' long benches,150,12,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041006.JPG,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041006A.JPG
1004-1007,TABLES,Descansa Package,4' x 8' Descansa Table Dinner Height & two Long Benches & Two Silver Bistro Chairs Package Three,4' x 8' Descansa table dinner height with two 9' long benches and two silver metal bistro chairs,170,12,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041007.JPG,
1004-1008,TABLES,Descansa Package,4' x 8' Descansa Table Dinner Height & Eight Bistro Chairs Package Four,4' x 8' Descansa table dinner height package with 8 silver metal bistro chairs,180,20,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041008.JPG,
1004-1009,TABLES,Descansa Smaller,3' x 6' Descansa Smaller Table Dinner Height (Table Only),"3' x 6' Descansa smaller table dinner height 30"". Table only",105,15,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041009.JPG,
1004-1010,TABLES,Descansa Smaller,3' x 6' Descansa Smaller Table High Boy  (Table Only),"3' x 6' Descansa Smaller High Boy 42"". Table Only",105,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041010.JPG,
1004-1011,TABLES,Descansa Smaller,3' x 6' Descansa Smaller Table Double Barrel High Boy (Table Only),"3' x 6' Descansa Smaller Double Barrel High Boy 40"". Table Only ",115,15,https://dummyimage.com/350x350/20232a/bababa.png&text=Product+Image+Coming+Soon,
1004-1012,TABLES,Descansa Smaller Package,3' x 6' Descansa Smaller Dinner Height Table (Package One),"3' x 6' Descansa smaller dinner height 30"" table with two 7' short descansa benches",125,8,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041012.JPG,
1004-1013,TABLES,Descansa Smaller Package,3' x 6' Descansa Smaller Dinner Height Table (Package Two),3'x 6' Descansa smaller table package with eight silver metal bistro chairs,175,15,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041013.JPG,
1004-1014,TABLES,Descansa Smaller Package,3' x 6' Descansa Smaller High Boy Table & Eight Wooden Bar Stools (Package Three),3' x 6' Descansa smaller  high boy table with eight padded natural wood bar stools,175,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041014.JPG,
1004-1015,TABLES,Descansa Smaller Package,3' x 6' Descansa Smaller High Boy Table & Eight Distress Gun Metal stools  (Package Four),3' x 6' Descansa smaller high boy double barrel table with eight distress gun metal stools,180,12,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041015.JPG,
1004-1016,TABLES,Single Barrel High Boy Round Table,Single Barrel High Boy Round (Table Only),"44"" Diameter single barrel high boy round 39"". Table Only",75,25,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041016.JPG,
1004-1017,TABLES,Single Barrel High Boy Round Table Package,Single Barrel High Boy Round Table & Four Distress Gun Metal Stools (Package One),"44"" Diameter single barrel high boy round table 39"" & four distress metal stools",120,25,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041017.JPG,
1004-1018,TABLES,Single Barrel High Boy Round Table Package,Single Barrel High Boy Round Table & Four Wooden Stool (Package Two),"44"" Diameter single barrel high boy round table & four padded natural wood bar stools",115,25,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041018.JPG,
1004-1019,TABLES,Buffet Communal Table Long,Buffet Communal Dinner Height Table Long (Table Only),"26"" x 72"" Faux antique acacia wood buffet communal dinner height 30"" table long",85,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041019.JPG,
1004-1020,TABLES,Buffet Communal Table Long,Buffet Communal High Boy Table Long (Table Only),"26"" x 72"" Faux antique acacia wood buffet communal high boy 42"" table long",85,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041020.JPG,
1004-1021,TABLES,Buffet Communal Table Short,Buffet Communal Dinner Height Table Short (Table Only),"26"" x 48"" Faux antique acacia wood buffet communal dinner height 30"" table short ",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041021.JPG,
1004-1022,TABLES,Buffet Communal Table Short,Buffet Communal High Boy Table Short (Table Only),"26"" x 48""Faux antique acacia wood buffet communal high boy 42"" short table",65,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041022.JPG,
1004-1023,TABLES,Carmel Table Package,Carmel High Boy Table Long & Six Distress Gun Metal Stools (Package One)," 26"" x 72"" Faux antique acacia wood high boy 42"" with six distress gun metal stools",150,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041023.JPG,
1004-1024,TABLES,Carmel Table Package,Carmel High Boy Table Long & Six Padded Wood Stools (Package Two),"26"" x 72"" Carmel high boy 42"" table long with six padded natural wood bar stools ",140,10,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041024.JPG,
1004-1025,TABLES,Carmel Registration Table Package,Carmel Registration Table Long. Dinner Height Two Silver Metal Bistro Chairs (Package One),"26"" x 72"" Carmel reception table long, dinner height 30"" with two silver metal bistro chairs ",100,5,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041025.JPG,
1004-1026,TABLES,Carmel Registration Table Package,Carmel U Shape Registration Table. Two Silver Metal Bistro Chairs (Package Two),"Three carmel Ttables to form a ""U"" it inlcudes one long table plus two short tables with two silver metal bistro chairs",220,4,https://s3-us-west-2.amazonaws.com/scottsdaleevents/inventory_images/TABLES/10041026.JPG,
